signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,period,period_start,period_end,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
21,10,0.0092066277672683,0.0064079357034247,0.6666666666666666,0.03487829515296865,-0.02648452357421896,BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.00705377944259928,0.005110876267591399,0.1586879432624113
127,27,0.009180932831931256,0.0064079357034247,0.5511811023622047,0.03707993945461801,-0.02907358558785192,REL_VOLUME_GE_1,REL_VOLUME_GE_1,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.007028084507262236,0.005110876267591399,0.04320237895794943
60,26,-0.0002994622607052445,-0.0015595914846185,0.4666666666666667,0.03589287716264599,-0.031253066957962275,EMA38_CROSSOVER,EMA38_CROSSOVER,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.002452310585374264,-0.0028566509204518004,-0.04131205673758864
42,23,-0.008629237366491864,-0.00648449818546095,0.40476190476190477,0.03064878789448094,-0.033408202195559844,EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.010782085691160884,-0.00778155762129425,-0.10321681864235055
79,17,0.010614202642207578,0.006543455518861,0.5949367088607594,0.0335201589230239,-0.02581587462214984,BULL_RSI_DIVERGENCE,BULL_RSI_DIV,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.008461354317538559,0.0052463960830277,0.08695798545650413
39,21,0.014676282248697246,0.0152522154055896,0.6923076923076923,0.04154536327258727,-0.023374690818990084,REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.012523433924028226,0.0139551559697563,0.18432896890343697
158,22,0.010662984426146613,0.00693106269633295,0.5822784810126582,0.03582209285764781,-0.026446855903697164,BULL_MACD_DIVERGENCE,BULL_MACD_DIV,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.008510136101477593,0.00563400326049965,0.0742997576084029
23,15,-0.006184394265582498,-0.0013587333277874,0.4782608695652174,0.0315415636229014,-0.02881415182105174,EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.008337242590251518,-0.0026557927636207002,-0.02971785383903791
173,23,0.0002674115738658928,0.0030487010448967,0.5317919075144508,0.03452430018740456,-0.0340710912949921,OBV_BULL_DIVERGENCE,OBV_BULL_DIV,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.0018854367508031266,0.0017516416090634,0.023813184110195507
46,19,-0.00019919910212786799,-0.00465712060989715,0.41304347826086957,0.024645917548428785,-0.025279806516741003,BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.0023520474267968872,-0.0059541800457304506,-0.09493524514338575
165,22,-0.005311311638954145,-0.0037755014038347,0.42424242424242425,0.025183677116169888,-0.029557158952304846,TREND_2150_BULL,TREND_2150_BULL,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.007464159963623164,-0.005072560839668,-0.08373629916183106
201,26,-0.0027851834864621224,-0.0018609097970926,0.4527363184079602,0.02818121731810475,-0.031791159895772664,RSI_GT_50,RSI_GT_50,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.004938031811131142,-0.0031579692329259,-0.055242404996295125
9,9,-0.0009959174783919545,0.0080650581356274,0.5555555555555556,0.03470956926434715,-0.02536540307054201,EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.003148765803060974,0.0067679986997941,0.04757683215130026
130,26,-0.007010871643318563,-0.00568244044759635,0.4230769230769231,0.024795470502121386,-0.03214369766025785,RSI_GT_55,RSI_GT_55,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.009163719967987581,-0.006979499883429651,-0.08490180032733224
107,22,-0.008286361924758474,-0.0069331220381854,0.40186915887850466,0.02254314739689143,-0.030406804111681243,TREND_STACK,TREND_STACK,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.010439210249427493,-0.0082301814740187,-0.10610956452575065
272,26,0.0005444624150487865,-0.0022399024310417502,0.47794117647058826,0.03160904928592148,-0.030942548745601234,MACD_HIST_GT_0,MACD_HIST_GT_0,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.0016083859096202328,-0.0035369618668750504,-0.03003754693366706
271,25,-0.004291836259262713,-0.0037755014038347,0.43911439114391143,0.028379238029251012,-0.03205951615543146,TREND_50200_BULL,TREND_50200_BULL,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.006444684583931732,-0.005072560839668,-0.06886433226034389
77,22,-0.006601450777409383,-0.0069466819605366,0.38961038961038963,0.023632289405295697,-0.030882177948576214,BREAKOUT_20,BREAKOUT_20,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.008754299102078403,-0.0082437413963699,-0.11836833379386569
58,18,-0.012761308225231307,-0.0130782294403528,0.27586206896551724,0.018933561439843732,-0.03389873737620893,BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.014914156549900326,-0.0143752888761861,-0.23211665443873808
51,14,0.005783275457876166,0.0047263778758643,0.5294117647058824,0.028148506278999536,-0.029672193080282117,BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.0036304271332071466,0.0034293184400309997,0.021433041301627043
41,15,-0.01566402725262922,-0.013225424397947,0.24390243902439024,0.016499092006251506,-0.03545243685717626,BREAKOUT_50,BREAKOUT_50,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.01781687557729824,-0.0145224838337803,-0.2640762843798651
