signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,regime,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
25,6,0.019687228432027165,0.0220672525792891,0.72,0.04861002777017319,-0.016291323991130962,BULL_MACD_DIVERGENCE,BULL_MACD_DIV,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,-0.0037885579920101213,-0.0013990946747253,0.03632653061224489
0,0,,,,,,EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
63,9,0.021868882945748257,0.0259551495016612,0.6666666666666666,0.05118846966604535,-0.02706341113300285,OBV_BULL_DIVERGENCE,OBV_BULL_DIV,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,-0.0016069034782890297,0.0024888022476468007,-0.017006802721088454
10,6,0.02634009409536951,0.013509478528197151,0.8,0.04483893043639464,-0.01645801528974668,BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.0028643076713322224,-0.009956868725817247,0.11632653061224496
1,1,0.0571171695269321,0.0571171695269321,1.0,0.0754687045508633,-0.0046275484570431,TREND_2150_BULL,TREND_2150_BULL,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.033641383102894815,0.0336508222729177,0.3163265306122449
36,11,0.016868250265636663,0.013509478528197151,0.6388888888888888,0.04987209585859255,-0.03141531445464137,RSI_GT_50,RSI_GT_50,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,-0.006607536158400623,-0.009956868725817247,-0.044784580498866244
0,0,,,,,,EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
25,10,0.014223950071769608,0.0152522154055896,0.64,0.04823052683769343,-0.030390852283408706,RSI_GT_55,RSI_GT_55,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,-0.009251836352267678,-0.008214131848424799,-0.04367346938775507
1,1,0.0571171695269321,0.0571171695269321,1.0,0.0754687045508633,-0.0046275484570431,TREND_STACK,TREND_STACK,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.033641383102894815,0.0336508222729177,0.3163265306122449
82,11,0.024239021171998564,0.025410295715200447,0.7195121951219512,0.050643232714243425,-0.02348351104918976,MACD_HIST_GT_0,MACD_HIST_GT_0,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.0007632347479612778,0.0019439484611860486,0.03583872573419611
