exit_type,exit_time,return,mfe,mae,stop_hit,target_hit,ambiguous,holding_days,symbol,signal_time,entry_time,entry_price,policy,survivor
TIME_1D,2025-01-16 05:00:00+00:00,0.005117354721251521,0.011366432121241887,-0.00526497072282639,False,False,False,1,GS,2025-01-15 05:00:00+00:00,2025-01-16 05:00:00+00:00,609.69,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-01 04:00:00+00:00,-0.007677974998990478,0.003945706160262574,-0.017559546128420034,False,False,False,1,GS,2026-03-31 04:00:00+00:00,2026-04-01 04:00:00+00:00,866.765,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-05-21 04:00:00+00:00,0.003085229463941408,0.013913978931130222,-0.014801997280126655,False,False,False,1,GS,2026-05-20 04:00:00+00:00,2026-05-21 04:00:00+00:00,985.34,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-16 05:00:00+00:00,0.001472162740899341,0.004684154175588873,-0.006290149892933639,False,False,False,1,IWM,2025-01-15 05:00:00+00:00,2025-01-16 05:00:00+00:00,224.16,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-02 04:00:00+00:00,0.02575720466976894,0.02983917054453422,-0.00036737692872890193,False,False,False,1,IWM,2026-04-01 04:00:00+00:00,2026-04-02 04:00:00+00:00,244.98,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-05-01 04:00:00+00:00,0.002512562814070307,0.004325197415649518,-0.007250538406317397,False,False,False,1,IWM,2026-04-30 04:00:00+00:00,2026-05-01 04:00:00+00:00,278.6,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-01-22 05:00:00+00:00,0.0033956905599803466,0.009631413224671315,-0.002407853306167773,False,False,False,1,JNJ,2024-01-19 05:00:00+00:00,2024-01-22 05:00:00+00:00,161.97,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-04-24 04:00:00+00:00,0.002430133657351341,0.005636560010800595,-0.008336708518968394,False,False,False,1,JNJ,2024-04-23 04:00:00+00:00,2024-04-24 04:00:00+00:00,148.14,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-05-02 04:00:00+00:00,-0.01394094824751757,0.0017097389360163362,-0.019267442625106934,False,False,False,1,JNJ,2024-05-01 04:00:00+00:00,2024-05-02 04:00:00+00:00,152.07,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-06-21 04:00:00+00:00,0.0055450365160940596,0.008047065187990254,-0.0021977278874762973,False,False,False,1,JNJ,2024-06-20 04:00:00+00:00,2024-06-21 04:00:00+00:00,147.88,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-08 05:00:00+00:00,-0.0218676935772244,0.0005845138220328394,-0.027231467473524784,False,False,False,1,JNJ,2025-01-07 05:00:00+00:00,2025-01-08 05:00:00+00:00,145.42,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-05-08 04:00:00+00:00,-0.0008345102067017773,0.007895750417254987,-0.006290923096674783,False,False,False,1,JNJ,2025-05-07 04:00:00+00:00,2025-05-08 04:00:00+00:00,155.78,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-07-02 04:00:00+00:00,-0.003204717343930241,0.0013780284578901458,-0.006088962953467614,False,False,False,1,JNJ,2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,156.02,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-08-04 04:00:00+00:00,0.02421793144738804,0.02481664421493779,0.0,False,False,False,1,JNJ,2025-08-01 04:00:00+00:00,2025-08-04 04:00:00+00:00,167.025,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-05-14 04:00:00+00:00,-0.0005629411509980864,0.003594162733295825,-0.007145022301130233,False,False,False,1,JNJ,2026-05-13 04:00:00+00:00,2026-05-14 04:00:00+00:00,230.93,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-06-08 04:00:00+00:00,-0.004225019838291044,0.007699401634246428,-0.010616166598751753,False,False,False,1,JNJ,2026-06-05 04:00:00+00:00,2026-06-08 04:00:00+00:00,233.135,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-06-24 04:00:00+00:00,0.0027878333957473966,0.011234552490325678,-0.0065742936795240015,False,False,False,1,JNJ,2026-06-23 04:00:00+00:00,2026-06-24 04:00:00+00:00,240.33,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-11-07 05:00:00+00:00,-0.030558914553913685,0.002316000901805726,-0.03572380152077226,False,False,False,1,JPM,2024-11-06 05:00:00+00:00,2024-11-07 05:00:00+00:00,243.955,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-12-12 05:00:00+00:00,-0.003907715393272504,0.0004845567087659042,-0.009941227960485244,False,False,False,1,JPM,2025-12-11 05:00:00+00:00,2025-12-12 05:00:00+00:00,319.88,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-01 04:00:00+00:00,-0.0004062425945360326,0.010934696502928443,-0.007413927350282679,False,False,False,1,JPM,2026-03-31 04:00:00+00:00,2026-04-01 04:00:00+00:00,295.39,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-06-05 04:00:00+00:00,-0.007119699955501879,0.0,-0.015574343652660305,False,False,False,1,JPM,2026-06-04 04:00:00+00:00,2026-06-05 04:00:00+00:00,314.62,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-05-01 04:00:00+00:00,0.001844566268945469,0.009209932279909738,-0.008590777168655195,False,False,False,1,LLY,2024-04-30 04:00:00+00:00,2024-05-01 04:00:00+00:00,775.25,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-05-07 04:00:00+00:00,0.011354472855916509,0.013058294097755052,-0.006613687797518475,False,False,False,1,LLY,2024-05-06 04:00:00+00:00,2024-05-07 04:00:00+00:00,768.86,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-04-21 04:00:00+00:00,-0.030188679245283123,0.0,-0.04132550136466129,False,False,False,1,LLY,2025-04-17 04:00:00+00:00,2025-04-21 04:00:00+00:00,842.7,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-02-24 05:00:00+00:00,-0.0009776482766552519,0.014712648084959756,-0.018038569182992736,False,False,False,1,LLY,2026-02-23 05:00:00+00:00,2026-02-24 05:00:00+00:00,1043.32,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-03-02 05:00:00+00:00,-0.027369124952235313,0.007666220863584261,-0.031720481467328976,False,False,False,1,LLY,2026-02-27 05:00:00+00:00,2026-03-02 05:00:00+00:00,1046.8,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-02 04:00:00+00:00,-0.007866752897021989,0.015123885454988883,-0.013750914430508576,False,False,False,1,LLY,2026-04-01 04:00:00+00:00,2026-04-02 04:00:00+00:00,943.21,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-05-01 04:00:00+00:00,0.017171685189289576,0.038375075198682884,-0.0038206207981087426,False,False,False,1,LLY,2026-04-30 04:00:00+00:00,2026-05-01 04:00:00+00:00,947.49,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-15 05:00:00+00:00,-0.003921487901026199,0.000360241670697814,-0.011033687742519893,False,False,False,1,LMT,2025-01-14 05:00:00+00:00,2025-01-15 05:00:00+00:00,485.785,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-04-10 04:00:00+00:00,0.010364950788258831,0.01728943471823019,-0.017877362599076796,False,False,False,1,LMT,2025-04-09 04:00:00+00:00,2025-04-10 04:00:00+00:00,459.24,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-07-02 04:00:00+00:00,0.020279994766452925,0.020279994766452925,-0.0033644230948953746,False,False,False,1,LMT,2026-07-01 04:00:00+00:00,2026-07-02 04:00:00+00:00,535.01,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-07-24 04:00:00+00:00,0.022299810513018326,0.032370692680187885,0.0,False,False,False,1,LMT,2026-07-23 04:00:00+00:00,2026-07-24 04:00:00+00:00,569.96,TIME_1D,EMA38_MACD_VOLUME
