timestamp_utc,experiment,universe_rule,symbol,rank,market_cap_usd,price_usd,volume_24h_usd,volume_market_cap,change_24h_pct,change_7d_pct,change_30d_pct,selected,reason,dry_run
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,WLD,56,1498638151,0.415752,543182706,0.36245087290587735,12.2,21.0,9.7,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,USDD,57,1495689841,0.999752,6433178,0.00430114441086185,,0.1,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,ENA,58,1495499279,0.152245,1246214488,0.833309989178537,19.8,77.5,65.1,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,MORPHO,59,1483620114,2.26,66019609,0.044498998346688634,0.7,17.3,15.4,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,ICP,60,1378941586,2.48,120899502,0.0876755790292048,1.4,7.8,12.2,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,BTW,61,1376772790,0.508558,26195109,0.019026457517365664,22.3,67.9,685.5,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,BGB,62,1341711310,1.91,31428808,0.023424419072684124,3.0,15.9,13.3,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,USDF,63,1337794161,0.995983,1368327,0.001022823271240156,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,BFUSD,64,1319648213,0.999728,4046601,0.0030664240364488716,0.1,0.1,0.1,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,ETC,65,1307203292,8.27,175022054,0.1338904629992318,17.0,32.3,19.2,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,U,66,1278765683,0.999377,364549818,0.28507945032178345,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,POL,67,1207786572,0.11266,209990374,0.17386380911014135,26.4,40.4,34.9,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,EURSAFO,68,1197768644,1.18,0,0.0,-0.1,1.0,2.4,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,USDGO,69,1194493721,0.999992,32421936,0.027142826646972387,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,PI,70,1062622526,0.09591,29414508,0.027681050683843682,3.1,6.6,2.9,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,KCS,71,1038071429,7.57,16419600,0.015817408649631565,-0.2,15.3,13.8,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,BCAP,72,964699192,105.87,0,0.0,,-0.3,-0.3,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,QNT,73,944180166,64.94,22788268,0.02413550805302555,5.2,12.0,2.1,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,EUTBL,74,941193370,1.24,0,0.0,-0.1,1.0,2.4,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,ALGO,75,873552317,0.096713,69327368,0.07936258269921113,9.7,21.6,14.7,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,JTRSY,76,873341714,1.11,0,0.0,,0.1,0.3,True,TOP_200_MARKET_CAP,True
