signals,symbols,gross_mean,gross_median,net_mean,net_median,net_positive_rate,net_profit_factor,net_max_drawdown,mfe_mean,mfe_median,mae_mean,mae_median,mfe_mae_ratio,stop_hit_rate,target_hit_rate,ambiguous_rate,research_horizon_exit_rate,p10_net,p25_net,p75_net,p90_net,policy,symbol
15,1,0.0046471737441981555,-0.03391765377069855,0.004447173744198154,-0.03411765377069855,0.4,1.1817002078263343,-0.20313780883239874,0.051739937256085757,0.06716610335304596,-0.03310093266196939,-0.03463157862387656,1.5630960548592414,0.6,0.4,0.0,0.0,-0.04871126487009378,-0.038570993863014234,0.06631692339513781,0.07857821777946554,B_ATR_2x_4x,XOM
10,1,0.047569964871342574,0.03886626778974617,0.047369964871342575,0.03866626778974616,0.5,2.968132636520593,-0.1969080604462472,0.09399810606537373,0.10621613917435291,-0.04522049168830587,-0.03319837794263403,2.078661742850573,0.3,0.4,0.0,0.0,-0.06664230217548262,-0.05163712617072579,0.14200882859132632,0.14908087778177498,C_ATR_2x_4x_MAX10D,AMD
7,1,0.023947416265081584,0.03936074951495683,0.02374741626508158,0.03916074951495683,0.5714285714285714,3.0050000832185346,-0.0813503428772675,0.057898219895373346,0.06759233571666279,-0.031067455134218967,-0.033891632062072685,1.8636293074292356,0.0,0.0,0.0,0.0,-0.034060233637203716,-0.012425997417317945,0.06699804065094814,0.07246395133426964,C_ATR_2x_4x_MAX10D,AMZN
4,1,0.0016369461830323673,-0.005372117036304858,0.001436946183032365,-0.005572117036304856,0.5,1.0503122647905396,-0.11098507567756632,0.0550058659910303,0.055558669588180454,-0.040480149422328665,-0.036650912331287255,1.3588355472000633,0.25,0.0,0.0,0.0,-0.05807430047598224,-0.05592961987538136,0.05179444902210887,0.06655544341751676,C_ATR_2x_4x_MAX10D,GOOGL
5,1,0.001242871500294096,0.013839569289747722,0.0010428715002940973,0.013639569289747721,0.6,1.0668008930228419,-0.04653625303148312,0.03985279794812158,0.04535259990922791,-0.022369426369385704,-0.013775704831110125,1.7815744261848048,0.4,0.0,0.0,0.0,-0.04053053080817959,-0.03152194747322425,0.02430137345609904,0.036919518538638285,C_ATR_2x_4x_MAX10D,HD
11,1,0.013536360087245286,0.012178377662200424,0.013336360087245286,0.011978377662200423,0.5454545454545454,2.1456068262445616,-0.044710603797566306,0.03958553198090868,0.026245839782867098,-0.02667659304204857,-0.019061602580257575,1.483905081826326,0.2727272727272727,0.18181818181818182,0.0,0.0,-0.03585528666153772,-0.021846132201455724,0.04933900983567494,0.059979735372734246,C_ATR_2x_4x_MAX10D,HON
11,1,0.041854717683712024,0.07998810359905262,0.04165471768371202,0.07978810359905261,0.6363636363636364,2.4981597763402617,-0.11327190137866427,0.09960467250284982,0.09418636860118457,-0.048088540457384,-0.043622530275408966,2.07127668162687,0.2727272727272727,0.36363636363636365,0.0,0.0,-0.08676590059526548,-0.05290267044920674,0.09782357670467143,0.15807378590236285,C_ATR_2x_4x_MAX10D,INTC
4,1,0.019004297429154715,0.028196911069726216,0.018804297429154716,0.027996911069726217,0.75,6.00773846238211,0.0,0.04637874721891094,0.04827651381486475,-0.025346930489567182,-0.023430074979969795,1.8297579360940952,0.0,0.0,0.0,0.0,-0.003462991786298074,0.013872807493621832,0.0329284010052591,0.033717495732150306,C_ATR_2x_4x_MAX10D,JPM
7,1,-0.020533422841853555,-0.035029786030957855,-0.020733422841853557,-0.03522978603095785,0.2857142857142857,0.3558899426207911,-0.1660105967013965,0.03192766033715883,0.021255468893027762,-0.05115276204125542,-0.05872383726288699,0.6241629789493816,0.42857142857142855,0.0,0.0,0.0,-0.059161821477708855,-0.053519731502559585,-0.0026748246074010593,0.03564085904222382,C_ATR_2x_4x_MAX10D,LLY
5,1,0.014526144634376648,0.009195946839349212,0.014326144634376647,0.008995946839349211,0.8,2.4575224721885847,-0.0491455360302776,0.038433414057163565,0.03926704542142678,-0.027293435357300465,-0.01998049471274177,1.408155974285713,0.2,0.0,0.0,0.0,-0.026579654083480862,0.007269168836714113,0.04901265314864454,0.052904155485929555,C_ATR_2x_4x_MAX10D,MS
